location,location_abbreviation,date,start_issue_date,end_issue_date
04,AZ,2020-12-26,2021-01-03,2021-07-04
05,AR,2020-09-19,2020-09-20,2021-07-04
05,AR,2020-12-26,2021-01-03,2021-07-04
05,AR,2021-03-06,2021-03-07,2021-07-04
05,AR,2021-03-13,2021-03-14,2021-07-04
06,CA,2020-12-26,2021-01-03,2021-07-04
08,CO,2020-12-26,2021-01-03,2021-07-04
09,CT,2020-12-26,2021-01-03,2021-07-04
09,CT,2020-01-02,2021-01-03,2021-07-04
10,DE,2020-06-27,2020-06-28,2021-02-07
10,DE,2020-07-25,2020-07-26,2021-02-07
10,DE,2020-08-01,2021-02-14,2021-02-14
12,FL,2020-12-26,2021-01-03,2021-07-04
13,GA,2020-11-07,2020-11-15,2021-07-04
13,GA,2021-01-02,2021-01-10,2021-07-04
15,HI,2021-01-30,2021-01-31,2021-07-04
16,ID,2020-12-26,2021-01-03,2021-07-04
17,IL,2020-07-11,2020-07-12,2021-07-04
17,IL,2020-12-26,2021-01-03,2021-07-04
18,IN,2020-12-26,2021-01-03,2021-07-04
18,IN,2021-02-06,2021-02-07,2021-07-04
19,IA,2021-02-06,2021-02-07,2021-07-04
20,KS,2020-12-26,2021-01-03,2021-07-04
20,KS,2021-01-23,2021-01-31,2021-07-04
21,KY,2021-03-20,2021-03-21,2021-07-04
21,KY,2021-03-27,2021-03-28,2021-07-04
21,KY,2021-06-05,2021-06-06,2021-07-04
22,LA,2021-01-02,2021-01-10,2021-07-04
23,ME,2020-12-26,2021-01-03,2021-07-04
24,MD,2020-12-26,2021-01-03,2021-07-04
24,MD,2021-05-29,2021-05-30,2021-07-04
25,MA,2020-12-26,2021-01-03,2021-07-04
26,MI,2020-12-26,2021-01-10,2021-07-04
26,MI,2021-01-02,2021-01-10,2021-07-04
27,MN,2020-08-22,2020-08-23,2021-07-04
27,MN,2021-03-13,2021-03-14,2021-07-04
28,MS,2020-12-26,2021-01-03,2021-07-04
30,MT,2021-04-10,2021-04-11,2021-07-04
31,NE,2021-04-17,2021-04-18,2021-07-04
31,NE,2021-05-22,2021-05-23,2021-07-04
32,NV,2020-12-26,2021-01-03,2021-07-04
32,NV,2021-01-02,2021-01-10,2021-07-04
33,NH,2020-12-26,2021-01-03,2021-07-04
34,NJ,2020-06-27,2020-06-28,2020-07-26
34,NJ,2020-08-29,2020-08-30,2021-07-04
34,NJ,2020-12-26,2021-01-03,2021-07-04
35,NM,2020-12-26,2020-12-27,2021-07-04
35,NM,2021-05-29,2021-05-30,2021-07-04
37,NC,2020-12-26,2021-01-03,2021-07-04
37,NC,2021-01-02,2021-01-10,2021-07-04
38,ND,2020-12-26,2021-01-03,2021-07-04
39,OH,2020-09-05,2020-09-06,2020-11-29
39,OH,2020-12-26,2021-01-03,2021-02-14
39,OH,2021-02-13,2021-02-14,2021-02-14
39,OH,2021-02-27,2021-02-28,2021-02-28
39,OH,2021-03-20,2021-03-21,2021-04-17
39,OH,2021-03-27,2021-03-28,2021-04-25
39,OH,2021-04-03,2021-04-04,2021-05-02
39,OH,2021-04-10,2021-04-11,2021-05-09
39,OH,2021-04-17,2021-04-18,2021-05-16
39,OH,2021-04-24,2021-04-25,2021-05-23
39,OH,2021-05-01,2021-05-02,2021-05-30
39,OH,2021-05-08,2021-05-09,2021-06-06
39,OH,2021-05-15,2021-05-16,2021-06-13
39,OH,2021-05-22,2021-05-23,2021-06-20
39,OH,2021-05-29,2021-05-30,2021-06-27
39,OH,2021-06-05,2021-06-06,2021-07-04
39,OH,2021-06-12,2021-06-13,2021-07-04
39,OH,2021-06-19,2021-06-20,2021-07-04
39,OH,2021-06-26,2021-06-27,2021-07-04
39,OH,2021-07-03,2021-07-04,2021-07-04
40,OK,2021-04-10,2021-04-11,2021-07-04
40,OK,2021-05-29,2021-05-30,2021-07-04
41,OR,2020-12-26,2021-01-10,2021-07-04
41,OR,2021-01-02,2021-01-10,2021-07-04
42,PA,2020-12-26,2021-01-03,2021-07-04
44,RI,2020-12-26,2021-01-10,2021-07-04
44,RI,2021-01-02,2021-01-10,2021-07-04
44,RI,2021-01-09,2021-01-17,2021-07-04
47,TN,2020-12-26,2021-01-03,2021-07-04
47,TN,2021-01-02,2021-01-10,2021-07-04
48,TX,2020-12-26,2020-01-03,2021-07-04
48,TX,2021-01-02,2021-01-10,2021-07-04
48,TX,2021-02-20,2021-02-21,2021-07-04
49,UT,2020-12-26,2020-01-03,2021-07-04
49,UT,2021-01-02,2021-01-10,2021-07-04
49,UT,2021-02-27,2021-02-28,2021-07-04
51,VA,2020-12-26,2021-01-03,2021-07-04
51,VA,2021-02-27,2021-02-28,2021-07-04
51,VA,2021-03-06,2021-03-07,2021-07-04
51,VA,2021-03-13,2021-03-14,2021-07-04
53,WA,2020-12-12,2020-12-13,2021-07-04
53,WA,2020-12-26,2020-01-03,2021-07-04
53,WA,2021-06-12,2021-06-13,2021-07-04
53,WA,2021-06-19,2021-06-20,2021-07-04
54,WV,2020-12-26,2021-01-10,2021-07-04
54,WV,2021-01-02,2021-01-10,2021-07-04
54,WV,2021-03-13,2021-03-14,2021-07-04
54,WV,2021-03-20,2021-03-21,2021-07-04
54,WV,2021-05-01,2021-05-02,2021-07-04
55,WI,2020-12-26,2021-01-10,2021-07-04
55,WI,2021-01-02,2021-01-10,2021-07-04
56,WY,2020-12-19,2021-01-02,2021-07-04
56,WY,2020-12-26,2021-01-02,2021-07-04
66,GU,2021-05-22,2021-05-23,2021-07-04
74,UM,2020-12-26,2020-12-27,2021-07-04
74,UM,2021-01-02,2021-01-03,2021-07-04
